Dist Surface Mineral Mineral_new BaseActiveLayer
69 88.51 88.3 88.2773913043478 87.96
69.5 88.5 88.25 88.2673913043478 87.92
70 88.48 88.21 88.2473913043478 87.89
70.5 88.43 88.16 88.1973913043478 87.85
71 88.39 88.12 88.1573913043478 87.81
71.5 88.35 88.07 88.1173913043478 87.78
72 88.33 88.03 88.0973913043478 87.75
72.5 88.29 87.98 88.0573913043478 87.72
73 88.24 87.93 88.0073913043478 87.71
73.5 88.18 87.9 87.9473913043478 87.7
74 88.11 87.87 87.8773913043478 87.69
74.5 88.1 87.84 87.8673913043478 87.66
75 88.09 87.8 87.8573913043478 87.64
75.5 88.05 87.77 87.8173913043478 87.62
76 88.02 87.74 87.7873913043478 87.6
76.5 87.98 87.71 87.7473913043478 87.58
77 87.95 87.67 87.7173913043478 87.56
77.5 87.92 87.61 87.6873913043478 87.54
78 87.87 87.55 87.6373913043478 87.52
78.5 87.81 87.48 87.5773913043478 87.46
79 87.74 87.42 87.5073913043478 87.36
79.5 87.65 87.36 87.4173913043478 86.92
80 87.53 87.29 87.2973913043478 86.33
