Datetime Air_Temperature Relative_humidity WindSpeed Shortwaveradiation Precipitation Prec_lqd Prec_sld AirTEMP_26 Prec_lqd_26 Prec_sld_26 AirTEMP_45 Prec_lqd_45 Prec_sld_45 AirTEMP_85 Prec_lqd_85 Prec_sld_85
2000-01-01 251.661424106289 0.644263299390735 4.08028845136562 220.487857100593 1.29071537290715e-08 0 5.31465155839339e-09 259.74 0 1.29071537290715e-08 261.88 0 1.29071537290715e-08 267.48 0 1.29071537290715e-08
2000-01-02 251.539003920494 0.643009895984949 4.08028845136562 219.90248964165 1.29071537290715e-08 0 5.31465155839339e-09 259.67 0 1.29071537290715e-08 261.82 0 1.29071537290715e-08 267.43 0 1.29071537290715e-08
2000-01-03 251.421470510957 0.641779267616785 4.08028845136562 219.340488915751 1.29071537290715e-08 0 5.31465155839339e-09 259.61 0 1.29071537290715e-08 261.76 0 1.29071537290715e-08 267.38 0 1.29071537290715e-08
2000-01-04 251.308858707285 0.640571778968091 4.08028845136562 218.802021465023 1.29071537290715e-08 0 5.31465155839339e-09 259.55 0 1.29071537290715e-08 261.7 0 1.29071537290715e-08 267.33 0 1.29071537290715e-08
2000-01-05 251.201201880612 0.639387787863404 4.08028845136562 218.287246857729 1.29071537290715e-08 0 5.31465155839339e-09 259.49 0 1.29071537290715e-08 261.65 0 1.29071537290715e-08 267.28 0 1.29071537290715e-08
2000-01-06 251.098531933716 0.638227645163933 4.08028845136562 217.796317640997 1.29071537290715e-08 0 5.31465155839339e-09 259.44 0 1.29071537290715e-08 261.6 0 1.29071537290715e-08 267.24 0 1.29071537290715e-08
2000-01-07 251.000879291605 0.637091694664066 4.08028845136562 217.32937929582 1.29071537290715e-08 0 5.31465155839339e-09 259.39 0 1.29071537290715e-08 261.56 0 1.29071537290715e-08 267.2 0 1.29071537290715e-08
2000-01-08 250.908272892438 0.635980272988761 4.08028845136562 216.886570193629 1.29071537290715e-08 0 5.31465155839339e-09 259.34 0 1.29071537290715e-08 261.51 0 1.29071537290715e-08 267.16 0 1.29071537290715e-08
2000-01-09 250.820740178994 0.63489370949428 4.08028845136562 216.468021555502 1.29071537290715e-08 0 5.31465155839339e-09 259.3 0 1.29071537290715e-08 261.47 0 1.29071537290715e-08 267.12 0 1.29071537290715e-08
2000-01-10 250.738307090523 0.633832326170467 4.08028845136562 216.073857413227 1.29071537290715e-08 0 5.31465155839339e-09 259.26 0 1.29071537290715e-08 261.44 0 1.29071537290715e-08 267.09 0 1.29071537290715e-08
2000-01-11 250.660998055066 0.63279643754533 4.08028845136562 215.70419457254 1.29071537290715e-08 0 5.31465155839339e-09 259.22 0 1.29071537290715e-08 261.4 0 1.29071537290715e-08 267.06 0 1.29071537290715e-08
2000-01-12 250.588835982207 0.631786350591726 4.08028845136562 215.359142578482 1.29071537290715e-08 0 5.31465155839339e-09 259.18 0 1.29071537290715e-08 261.37 0 1.29071537290715e-08 267.03 0 1.29071537290715e-08
2000-01-13 250.521842256312 0.630802364636824 4.08028845136562 215.038803683078 1.29071537290715e-08 0 5.31465155839339e-09 259.15 0 1.29071537290715e-08 261.34 0 1.29071537290715e-08 267.01 0 1.29071537290715e-08
2000-01-14 250.460036730151 0.629844771272856 4.08028845136562 214.743272814846 1.29071537290715e-08 0 5.31465155839339e-09 259.12 0 1.29071537290715e-08 261.32 0 1.29071537290715e-08 266.98 0 1.29071537290715e-08
2000-01-15 250.403437719027 0.628913854270736 4.08028845136562 214.472637550692 1.29071537290715e-08 0 5.31465155839339e-09 259.1 0 1.29071537290715e-08 261.3 0 1.29071537290715e-08 266.96 0 1.29071537290715e-08
2000-01-16 250.352061995374 0.628009889496473 4.08028845136562 214.226978090111 1.29071537290715e-08 0 5.31465155839339e-09 259.08 0 1.29071537290715e-08 261.28 0 1.29071537290715e-08 266.95 0 1.29071537290715e-08
2000-01-17 250.305924783759 0.627133144829004 4.08028845136562 214.006367231289 1.29071537290715e-08 0 5.31465155839339e-09 259.06 0 1.29071537290715e-08 261.26 0 1.29071537290715e-08 266.93 0 1.29071537290715e-08
2000-01-18 250.265039756376 0.626283880080746 4.08028845136562 213.810870349524 1.29071537290715e-08 0 5.31465155839339e-09 259.04 0 1.29071537290715e-08 261.25 0 1.29071537290715e-08 266.92 0 1.29071537290715e-08
2000-01-19 250.229419029021 0.625462346921312 4.08028845136562 213.640545378017 1.29071537290715e-08 0 5.31465155839339e-09 259.03 0 1.29071537290715e-08 261.24 0 1.29071537290715e-08 266.91 0 1.29071537290715e-08
2000-01-20 250.199073157454 0.624668788801855 4.08028845136562 213.495442790452 1.29071537290715e-08 0 5.31465155839339e-09 259.03 0 1.29071537290715e-08 261.23 0 1.29071537290715e-08 266.9 0 1.29071537290715e-08
2000-01-21 250.174011134302 0.623903440883647 4.08028845136562 213.375605586213 1.29071537290715e-08 0 5.31465155839339e-09 259.02 0 1.29071537290715e-08 261.22 0 1.29071537290715e-08 266.9 0 1.29071537290715e-08
2000-01-22 250.154240386392 0.623166529968214 4.08028845136562 213.281069277594 1.29071537290715e-08 0 5.31465155839339e-09 259.02 0 1.29071537290715e-08 261.22 0 1.29071537290715e-08 266.9 0 1.29071537290715e-08
2000-01-23 250.139766772545 0.622458274430194 4.08028845136562 213.211861879282 1.29071537290715e-08 0 5.31465155839339e-09 259.02 0 1.29071537290715e-08 261.22 0 1.29071537290715e-08 266.9 0 1.29071537290715e-08
