Datetime Air_Temperature Relative_humidity WindSpeed Shortwaveradiation Precipitation Prec_lqd Prec_sld
"06-Mar-2000 00:00:00" 254.36 0.62 4.08 99.37 0 0 5.31465155839339e-09
"07-Mar-2000 00:00:00" 254.56 0.62 4.08 101.88 0 0 5.31465155839339e-09
"08-Mar-2000 00:00:00" 254.77 0.62 4.08 104.4 0 0 5.31465155839339e-09
"09-Mar-2000 00:00:00" 254.97 0.62 4.08 106.93 0 0 5.31465155839339e-09
"10-Mar-2000 00:00:00" 255.19 0.62 4.08 109.48 0 0 5.31465155839339e-09
"11-Mar-2000 00:00:00" 255.4 0.62 4.08 112.04 0 0 5.31465155839339e-09
"12-Mar-2000 00:00:00" 255.62 0.63 4.08 114.62 0 0 5.31465155839339e-09
"13-Mar-2000 00:00:00" 255.85 0.63 4.08 117.2 0 0 5.31465155839339e-09
"14-Mar-2000 00:00:00" 256.08 0.63 4.08 119.8 0 0 5.31465155839339e-09
"15-Mar-2000 00:00:00" 256.31 0.63 4.08 122.41 0 0 5.31465155839339e-09
"16-Mar-2000 00:00:00" 256.54 0.63 4.08 125.03 0 0 5.31465155839339e-09
"17-Mar-2000 00:00:00" 256.78 0.63 4.08 127.66 0 0 5.31465155839339e-09
"18-Mar-2000 00:00:00" 257.02 0.63 4.08 130.3 0 0 5.31465155839339e-09
"19-Mar-2000 00:00:00" 257.27 0.63 4.08 132.94 0 0 5.31465155839339e-09
"20-Mar-2000 00:00:00" 257.51 0.63 4.08 135.59 0 0 5.31465155839339e-09
"21-Mar-2000 00:00:00" 257.77 0.63 4.08 138.25 0 0 5.31465155839339e-09
"22-Mar-2000 00:00:00" 258.02 0.63 4.08 140.91 0 0 5.31465155839339e-09
"23-Mar-2000 00:00:00" 258.28 0.64 4.08 143.57 0 0 5.31465155839339e-09
"24-Mar-2000 00:00:00" 258.54 0.64 4.08 146.24 0 0 5.31465155839339e-09
"25-Mar-2000 00:00:00" 258.8 0.64 4.08 148.92 0 0 5.31465155839339e-09
"26-Mar-2000 00:00:00" 259.06 0.64 4.08 151.59 0 0 5.31465155839339e-09
"27-Mar-2000 00:00:00" 259.33 0.64 4.08 154.26 0 0 5.31465155839339e-09
"28-Mar-2000 00:00:00" 259.6 0.64 4.08 156.94 0 0 5.31465155839339e-09
"29-Mar-2000 00:00:00" 259.88 0.64 4.08 159.61 0 0 5.31465155839339e-09
"30-Mar-2000 00:00:00" 260.15 0.64 4.08 162.29 0 0 5.31465155839339e-09
"31-Mar-2000 00:00:00" 260.43 0.64 4.08 164.96 0 0 5.31465155839339e-09
"01-Apr-2000 00:00:00" 260.71 0.65 4.08 167.63 0 0 5.31465155839339e-09
"02-Apr-2000 00:00:00" 260.99 0.65 4.08 170.29 0 0 5.31465155839339e-09
