Dist Surface Mineral
0 100.671569561407 100.438960865755
0.5 100.623519074373 100.390910378721
1 100.567822215958 100.335213520305
1.5 100.49702828647 100.264419590817
2 100.405244604648 100.172635908996
2.5 100.288720496771 100.056111801118
3 100.146219003948 99.913610308296
3.5 99.9791394698723 99.7465307742202
4 99.7913788600617 99.5587701644095
4.5 99.5889455564448 99.3563368607926
5 99.3793639018359 99.1467552061837
5.5 99.1709285064096 98.9383198107574
6 98.9718822174921 98.73927352184
6.5 98.7895992192644 98.5569905236123
7 98.6298542205796 98.3972455249274
7.5 98.4962501574074 98.2636414617552
8 98.389861126963 98.1572524313109
8.5 98.3091259402262 98.076517244574
9 98.2500028422365 98.0173941465843
9.5 98.2063700667433 97.9737613710911
10 98.1706325285867 97.9380238329345
10.5 98.1344745280812 97.9018658324291
11 98.089683871283 97.8570751756308
11.5 98.0289657324093 97.7963570367571
12 97.9466656012755 97.7140569056233
12.5 97.8393296686646 97.6067209730124
13 97.70604711312 97.4734384174678
13.5 97.5485403671228 97.3159316714707
14 97.370994416902 97.1383857212499
14.5 97.1796420529724 96.9470333573203
15 96.98214617479 96.7495374791379
15.5 96.7868403656906 96.5542316700384
16 96.6019030002785 96.3692943046263
16.5 96.4345467336439 96.2019380379917
17 96.2903036973819 96.0576950017297
17.5 96.1724772424475 95.9398685467953
18 96.0818145633995 95.8492058677473
18.5 96.0164326483265 95.7838239526743
19 95.972004893123 95.7393961974708
19.5 95.9421898858692 95.7095811902171
20 95.9192598670068 95.6866511713546
20.5 95.8948665823047 95.6622578866525
21 95.8608686294171 95.628259933765
21.5 95.8101383045621 95.5775296089099
22 95.7372679874764 95.5046592918242
22.5 95.6391060589716 95.4064973633194
23 95.5150692394443 95.2824605437922
23.5 95.3672003942994 95.1345916986472
24 95.1999660775305 94.9673573818783
24.5 95.0198138777274 94.7872051820752
25 94.8345334353527 94.6019247397005
25.5 94.6524844571214 94.4198757614692
26 94.4817682344554 94.2491595388032
26.5 94.3294247719628 94.0968160763106
27 94.2007350938346 93.9681263981824
27.5 94.0986978724832 93.866089176831
28 94.0237322476914 93.7911235520392
28.5 93.9736362881245 93.7410275924723
29 93.9438052118418 93.7111965161897
29.5 93.927687739252 93.6950790435998
30 93.9174353520431 93.684826656391
30.5 93.9046801138419 93.6720714181897
31 93.8813639673527 93.6487552717005
31.5 93.8405373211968 93.6079286255446
32 93.777047783191 93.5444390875388
32.5 93.688050783744 93.4554420880918
33 93.5732914844802 93.340682788828
33.5 93.4351300337777 93.2025213381255
34 93.2783076662927 93.0456989706406
34.5 93.1094768269756 92.8768681313235
35 92.9365418862344 92.7039331905822
35.5 92.7678757841017 92.5352670884495
36 92.6114902372126 92.3788815415604
36.5 92.4742417445163 92.2416330488641
37 92.3611520798433 92.1285433841911
37.5 92.274910613328 92.0423019176758
38 92.2156077836936 91.9829990880415
38.5 92.1807261354009 91.9481174397488
39 92.1653898089142 91.9327811132621
39.5 92.1628477585685 91.9302390629163
40 92.165142809145 91.9325341134928
40.5 92.1639002448792 91.931291549227
41 92.1511577784661 91.9185490828139
41.5 92.1201546466965 91.8875459510444
42 92.0660016300825 91.8333929344303
42.5 91.9861655947498 91.7535568990976
43 91.8807205364932 91.6481118408411
43.5 91.7523402474863 91.5197315518342
44 91.6060333324075 91.3734246367554
44.5 91.4486468349799 91.2160381393278
45 91.2881876675906 91.0555789719385
45.5 91.1330290931233 90.9004203974712
46 90.99108089994 90.7584722042878
46.5 90.8690055091065 90.6363968134543
47 90.7715577008815 90.5389490052293
47.5 90.7011133963074 90.4685047006552
48 90.6574341935983 90.4248254979462
48.5 90.6376909947442 90.405082299092
49 90.6367443808363 90.4041356851841
49.5 90.6476539497591 90.4150452541069
50 90.6623661387744 90.4297574431222
50.5 90.6725123659313 90.4399036702792
51 90.6702383911852 90.437629695533
51.5 90.6489827041034 90.4163740084512
52 90.604126796715 90.3715181010628
52.5 90.5334528767721 90.3008441811199
53 90.4373636601432 90.2047549644911
53.5 90.318842460004 90.0862337643518
54 90.1831575281496 89.9505488324974
54.5 90.0373399494307 89.8047312537785
55 89.889486832135 89.6568781364828
55.5 89.7479588510327 89.5153501553805
56 89.6205516698923 89.3879429742402
56.5 89.5137233589261 89.2811146632739
57 89.4319543732942 89.1993456776421
57.5 89.3773035214493 89.1446948257972
58 89.3492039286945 89.1165952330423
58.5 89.3445192168129 89.1119105211607
59 89.3578543321341 89.1252456364819
59.5 89.3820902176894 89.1494815220372
60 89.4090893412309 89.1764806455787
60.5 89.4305021583683 89.1978934627161
61 89.438594586986 89.2059858913339
61.5 89.4270144868015 89.1944057911493
62 89.3914211827656 89.1588124871134
62.5 89.3299156439312 89.097306948279
63 89.2432286852824 89.0106199896303
63.5 89.1346485409439 88.9020398452917
64 89.0096949865652 88.777086290913
64.5 88.8755723067014 88.6429636110492
65 88.7404553203867 88.5078466247345
65.5 88.6126792227234 88.3800705270713
66 88.4999135325381 88.2673048368859
66.5 88.4084020113129 88.1757933156607
67 88.3423438805729 88.1097351849207
67.5 88.3034776616471 88.0708689659949
68 88.2909088810073 88.0583001853551
68.5 88.301198716298 88.0685900206458
69 88.3287047978689 88.0960961022167
69.5 88.3661403909676 88.1335316953154
70 88.4052965413217 88.1726878456695
70.5 88.4378556164934 88.2052469208412
71 88.4562156176907 88.2236069220386
71.5 88.4542435693207 88.2216348736685
72 88.4278833222624 88.1952746266102
72.5 88.3755575350377 88.1429488393855
73 88.2983239948823 88.0657152992301
73.5 88.1997707866513 87.9671620909991
74 88.0856606987548 87.8530520031026
